,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,ratings
22,Mo Bamba,ORL,0.7,0.364,1.7,0.5,0.4,0.667,5.1,0.6,0.3,1.3,5.9,76.0
23,J.J. Barea,DAL,1.7,0.545,1.9,0.382,0.3,1.0,1.7,3.1,0.3,0.1,9.1,76.0
24,Harrison Barnes,SAC,1.4,0.342,4.0,0.5,3.5,0.815,5.0,2.3,0.7,0.2,15.6,80.0
25,RJ Barrett,NYK,1.1,0.311,4.2,0.423,2.4,0.549,5.2,2.9,1.1,0.4,14.0,78.0
26,Will Barton,DEN,1.7,0.404,3.9,0.484,1.7,0.75,7.0,3.4,1.2,0.4,14.6,80.0
27,Keita Bates-Diop,MIN,1.2,0.435,1.4,0.545,0.7,0.632,2.5,0.5,0.4,0.4,7.1,72.0
28,Nicolas Batum,CHO,0.7,0.306,0.6,0.5,0.4,1.0,4.1,3.0,0.8,0.5,3.6,74.0
29,Aron Baynes,PHO,1.5,0.376,3.5,0.619,1.5,0.727,5.3,2.3,0.2,0.7,13.0,79.0
30,Kent Bazemore,POR,1.3,0.353,1.4,0.374,1.4,0.824,3.9,1.5,1.0,0.7,8.1,74.0
31,Darius Bazley,OKC,0.6,0.315,0.8,0.429,0.4,0.65,3.6,0.6,0.4,0.6,3.9,70.0
32,Bradley Beal,WAS,2.7,0.324,7.0,0.506,6.3,0.832,4.9,6.8,1.1,0.3,28.3,88.0
33,Malik Beasley,DEN,1.3,0.42,1.2,0.377,0.3,0.778,1.5,1.0,0.5,0.1,6.6,74.0
34,Marco Belinelli,SAS,1.1,0.363,1.0,0.359,0.8,0.733,1.7,1.3,0.3,0.0,6.1,72.0
35,Jordan Bell,MIN,0.0,0.0,1.3,0.6,0.9,0.64,3.4,0.7,0.1,0.5,3.6,75.0
36,DeAndre' Bembry,ATL,0.3,0.233,2.3,0.548,0.7,0.513,4.1,2.3,1.2,0.5,6.2,76.0
37,Dragan Bender,MIL,0.7,0.5,1.3,1.0,0.3,1.0,0.7,1.0,0.0,0.7,5.0,71.0
38,Dāvis Bertāns,WAS,3.8,0.434,1.3,0.5,1.5,0.894,4.9,1.7,0.6,0.6,15.4,79.0
39,Patrick Beverley,LAC,1.4,0.325,1.5,0.532,0.5,0.609,6.0,3.4,1.4,0.6,7.9,78.0
40,Khem Birch,ORL,0.0,0.0,1.6,0.491,0.8,0.5,5.3,1.1,0.6,0.8,4.1,72.0
41,Goga Bitadze,IND,0.2,0.267,1.1,0.521,0.6,0.737,2.5,0.7,0.0,1.0,3.3,74.0
42,Bismack Biyombo,CHO,0.0,0.0,3.1,0.571,1.7,0.582,5.5,0.9,0.2,0.7,8.0,78.0
43,Nemanja Bjelica,SAC,1.8,0.402,2.7,0.533,0.8,0.923,6.1,2.7,0.9,0.6,11.4,80.0
44,Eric Bledsoe,MIL,1.2,0.344,4.4,0.535,2.5,0.813,4.9,5.7,0.8,0.5,15.0,85.0
45,Bogdan Bogdanović,SAC,2.7,0.401,2.5,0.47,1.5,0.698,2.7,3.9,1.2,0.1,14.6,79.0
46,Bojan Bogdanović,UTA,3.3,0.446,3.6,0.449,4.1,0.887,4.5,2.2,0.6,0.1,21.1,82.0
47,Jonah Bolden,PHI,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,73.0
48,Jordan Bone,DET,0.0,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,69.0
49,Isaac Bonga,WAS,0.2,0.294,1.1,0.542,0.7,0.739,2.8,1.2,0.6,0.2,3.5,72.0
50,Devin Booker,PHO,2.0,0.382,6.4,0.549,5.1,0.908,4.0,6.4,0.6,0.3,24.0,87.0
51,Chris Boucher,TOR,0.4,0.3,1.4,0.513,1.4,0.745,4.1,0.4,0.3,0.8,5.6,77.0
52,Brian Bowen,IND,0.0,0.0,0.3,0.333,0.0,0.0,0.3,0.0,0.0,0.3,0.7,68.0
53,Ky Bowman,GSW,1.0,0.403,2.3,0.466,0.7,0.909,2.6,2.7,0.9,0.1,8.3,73.0
54,Avery Bradley,LAL,0.7,0.25,2.8,0.542,0.4,0.7,2.8,1.4,0.9,0.1,8.1,76.0
55,Tony Bradley,UTA,0.0,0.0,1.7,0.611,0.6,0.688,3.4,0.3,0.1,0.4,4.1,75.0
56,Jarrell Brantley,UTA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,1.0,0.0,67.0
57,Ignas Brazdeikis,NYK,0.1,0.125,0.6,0.333,0.4,0.75,0.7,0.3,0.0,0.1,2.0,69.0
58,Mikal Bridges,PHO,0.5,0.294,1.9,0.58,1.4,0.796,3.9,1.3,1.4,0.4,6.8,76.0
59,Miles Bridges,CHO,1.5,0.359,3.2,0.493,1.3,0.778,5.1,1.7,0.6,0.8,12.3,76.0
60,Oshae Brissett,TOR,0.2,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.6,67.0
61,Ryan Broekhoff,DAL,1.0,0.533,0.1,0.2,0.6,0.833,1.4,0.5,0.1,0.0,3.9,72.0
62,Malcolm Brogdon,IND,1.4,0.333,5.2,0.502,3.8,0.933,4.5,7.6,0.9,0.2,18.3,86.0
63,Dillon Brooks,MEM,1.8,0.368,3.4,0.43,2.3,0.837,3.5,2.1,1.1,0.4,14.5,75.0
64,Bruce Brown,DET,0.6,0.34,2.6,0.467,1.3,0.644,4.4,3.7,1.1,0.5,8.2,75.0
65,Charlie Brown,ATL,0.3,1.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.3,1.8,69.0
