,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,ratings
220,Jonathan Isaac,ORL,1.0,0.341,3.7,0.51,1.9,0.803,7.0,1.4,1.4,2.6,12.4,82.0
221,Wesley Iwundu,ORL,0.1,0.077,0.9,0.385,1.1,0.85,1.9,0.9,0.6,0.2,3.1,71.0
222,Frank Jackson,NOP,0.8,0.299,1.4,0.434,1.1,0.813,1.3,0.9,0.4,0.0,6.3,72.0
223,Jaren Jackson,MEM,2.6,0.411,3.7,0.524,2.4,0.747,4.5,1.5,0.6,1.3,17.6,82.0
224,Justin Jackson,DAL,0.9,0.364,1.3,0.515,0.5,0.737,2.3,0.5,0.2,0.1,6.0,75.0
225,Reggie Jackson,DET,0.5,0.2,1.5,0.5,0.5,1.0,2.5,4.0,0.0,0.0,5.0,80.0
226,Justin James,SAC,0.5,0.316,1.3,0.472,0.2,0.222,1.8,0.8,0.3,0.5,4.2,69.0
227,LeBron James,LAL,2.2,0.356,7.8,0.558,3.6,0.677,7.5,10.6,1.2,0.6,25.8,97.0
228,Amile Jefferson,ORL,0.0,0.0,0.4,0.75,0.0,0.0,1.0,0.3,0.0,0.0,0.9,69.0
229,DaQuan Jeffries,SAC,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,69.0
230,Ty Jerome,PHO,0.6,0.3,1.0,0.345,0.4,0.8,1.7,2.2,1.1,0.0,4.2,72.0
231,Alize Johnson,IND,0.0,0.0,0.6,0.455,0.3,0.75,1.3,0.2,0.0,0.0,1.4,70.0
232,B.J. Johnson,ORL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
233,Cameron Johnson,PHO,2.1,0.412,1.1,0.483,0.9,0.793,3.3,1.0,0.6,0.3,9.2,73.0
234,James Johnson,MIA,0.3,0.222,1.0,0.667,0.3,0.5,1.8,0.7,0.5,0.3,3.3,75.0
235,Keldon Johnson,SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
236,Stanley Johnson,TOR,0.2,0.25,0.4,0.4,0.0,0.0,1.4,0.0,0.2,0.0,1.4,73.0
237,Tyler Johnson,PHO,0.9,0.317,1.2,0.441,1.0,0.769,1.8,2.0,0.4,0.3,6.1,73.0
238,Nikola Jokić,DEN,1.2,0.303,5.7,0.565,2.3,0.819,10.0,6.9,1.0,0.6,17.4,89.0
239,Damian Jones,ATL,0.1,0.4,2.8,0.718,1.3,0.698,3.8,0.7,0.4,0.9,7.2,76.0
240,Derrick Jones,MIA,0.6,0.31,2.3,0.643,1.7,0.75,3.4,0.9,1.1,0.4,7.9,74.0
241,Tyus Jones,MEM,0.5,0.306,2.0,0.449,0.7,0.75,1.6,4.8,0.9,0.1,6.1,73.0
242,DeAndre Jordan,BRK,0.0,0.0,3.3,0.654,1.5,0.661,10.0,2.2,0.5,1.0,8.2,81.0
243,Cory Joseph,SAC,0.6,0.305,1.8,0.408,0.7,0.875,2.7,3.9,0.7,0.5,6.0,72.0
244,Mfiondu Kabengele,LAC,0.6,0.5,0.4,0.4,0.3,1.0,0.8,0.1,0.1,0.1,2.9,72.0
245,Frank Kaminsky,PHO,1.3,0.349,2.8,0.521,1.9,0.674,5.2,2.3,0.4,0.3,11.4,77.0
246,Enes Kanter,BOS,0.0,0.0,3.2,0.557,1.4,0.651,7.3,1.0,0.6,0.6,7.8,80.0
247,Luke Kennard,DET,2.6,0.399,2.8,0.491,2.4,0.893,3.5,4.1,0.4,0.2,15.8,80.0
248,Stanton Kidd,UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.0,68.0
