,Player,Tm,3P,3PA,3P%,2P,2PA,2P%,FT,FT%,TRB,AST,STL,BLK,PTS
472,Derrick White,SAS,0.9,2.2,.417,2.6,5.1,.514,1.9,.797,2.7,3.0,0.6,0.6,9.9
473,Hassan Whiteside,POR,0.0,0.1,.500,6.4,10.6,.608,2.6,.766,13.5,1.3,0.5,2.8,15.5
474,Andrew Wiggins,MIN,2.2,6.6,.331,7.2,14.1,.513,4.0,.744,5.2,3.1,0.7,1.2,25.0
475,Grant Williams,BOS,0.2,1.3,.143,1.0,1.9,.531,0.7,.826,2.3,0.8,0.4,0.6,3.3
476,Kenrich Williams,NOP,0.8,3.1,.266,0.8,1.5,.533,0.3,.375,5.5,1.7,0.7,0.7,4.4
477,Lou Williams,LAC,1.7,4.8,.360,4.5,10.3,.441,4.8,.841,3.0,6.2,0.6,0.1,19.1
478,Marvin Williams,CHO,1.3,3.1,.409,1.4,2.4,.574,1.1,.914,2.8,1.1,0.7,0.5,7.8
479,Robert Williams,BOS,0.0,0.0,0,1.7,2.6,.673,0.4,.571,4.6,1.1,0.9,1.1,3.9
480,Nigel Williams-Goss,UTA,0.0,0.1,.000,0.0,0.6,.000,0.3,1.000,0.3,0.3,0.0,0.1,0.3
481,D.J. Wilson,MIL,0.7,2.4,.289,1.3,1.6,.769,0.1,.667,2.4,0.8,0.0,0.1,4.7
483,Justise Winslow,MIA,0.6,2.6,.231,4.4,10.1,.436,1.8,.667,7.1,4.3,0.6,0.4,12.4
484,Christian Wood,DET,0.6,1.3,.417,2.8,4.1,.691,1.7,.635,4.7,0.5,0.3,0.8,9.0
485,Delon Wright,DAL,0.6,1.6,.357,2.1,4.0,.533,1.4,.864,3.5,3.3,1.4,0.3,7.3
486,Thaddeus Young,CHI,1.1,3.3,.320,2.5,5.5,.442,0.6,.588,4.4,1.9,1.0,0.3,8.7
487,Trae Young,ATL,3.5,9.5,.366,6.0,12.0,.504,6.6,.849,4.4,8.5,1.3,0.1,29.0
488,Cody Zeller,CHO,0.5,1.7,.300,4.1,6.7,.604,2.1,.674,7.8,1.3,0.6,0.5,11.8
489,Ante Žižić,CLE,0.0,0.0,0,1.8,3.2,.552,0.6,.833,2.6,0.0,0.2,0.2,4.1
490,Ivica Zubac,LAC,0.0,0.1,.000,3.2,5.4,.598,1.8,.726,6.4,0.9,0.2,0.9,8.3
