,Player,Tm,3P,3PA,3P%,2P,2PA,2P%,FT,FT%,TRB,AST,STL,BLK,PTS
366,Cedi Osman,CLE,1.7,4.5,.375,2.0,4.1,.492,0.8,.615,3.2,2.1,1.0,0.3,10.0
367,Kelly Oubre,PHO,1.6,4.9,.318,4.7,9.1,.513,3.6,.796,5.8,1.5,1.4,0.8,17.7
368,Jabari Parker,ATL,1.0,3.6,.277,5.3,8.9,.600,1.7,.736,6.1,1.8,1.3,0.5,15.4
369,Chandler Parsons,ATL,1.0,3.0,.333,0.3,0.5,.500,0.0,0,1.5,0.5,1.0,0.0,3.5
370,Eric Paschall,GSW,0.7,2.2,.308,4.8,8.8,.539,3.1,.788,4.7,1.7,0.4,0.3,14.7
371,Anžejs Pasečņiks,WAS,0.0,0.0,0,3.3,5.8,.565,2.0,.667,4.3,0.8,0.0,0.0,8.5
372,Patrick Patterson,LAC,1.3,3.3,.404,0.5,1.0,.452,0.6,.708,3.2,0.8,0.2,0.1,5.5
373,Justin Patton,OKC,0.0,0.5,.000,0.5,1.0,.500,0.0,0,1.0,0.0,0.0,0.0,1.0
374,Chris Paul,OKC,1.6,4.2,.380,3.7,7.1,.524,3.9,.896,4.4,6.3,1.6,0.2,16.1
375,Elfrid Payton,NYK,0.6,1.6,.348,2.6,6.4,.404,0.8,.688,3.5,5.9,1.7,0.2,7.6
376,Gary Payton,WAS,1.0,1.0,1.000,3.0,7.0,.429,1.0,.500,11.0,5.0,6.0,0.0,10.0
378,Norvel Pelle,PHI,0.0,0.0,0,0.9,1.3,.667,0.6,.667,2.7,0.6,0.0,1.3,2.3
379,Theo Pinson,BRK,0.6,2.9,.200,1.1,3.0,.368,0.7,.929,2.1,1.9,0.5,0.1,4.6
380,Mason Plumlee,DEN,0.0,0.1,.000,2.7,4.5,.600,1.2,.538,5.7,2.4,0.6,0.7,6.6
381,Vincent Poirier,BOS,0.0,0.0,0,0.8,1.6,.500,0.1,.500,1.7,0.3,0.2,0.2,1.7
382,Jakob Pöltl,SAS,0.0,0.0,0,2.4,4.1,.585,0.8,.579,5.8,1.8,0.6,1.4,5.5
383,Shamorie Ponds,TOR,0.0,0.3,.000,0.7,1.0,.667,0.0,0,0.3,0.7,0.0,0.3,1.3
384,Jordan Poole,GSW,1.1,4.6,.242,1.1,4.0,.267,1.6,.839,2.0,1.8,0.6,0.2,7.1
385,Kevin Porter,CLE,0.9,2.7,.325,2.2,4.3,.516,1.0,.750,3.2,1.9,0.9,0.2,8.1
386,Michael Porter,DEN,0.4,1.3,.333,1.3,2.6,.500,0.4,.727,2.6,0.4,0.0,0.3,4.2
387,Otto Porter,CHI,1.8,4.4,.400,2.1,4.9,.432,1.7,.750,3.4,1.6,1.0,0.3,11.2
388,Bobby Portis,NYK,1.1,2.9,.367,2.7,5.9,.464,1.0,.732,5.8,1.3,0.6,0.3,9.6
389,Kristaps Porziņģis,DAL,2.1,6.2,.333,4.2,9.3,.452,3.0,.728,9.6,1.4,0.6,2.1,17.6
390,Dwight Powell,DAL,0.3,1.0,.346,2.9,4.2,.688,1.5,.615,5.2,1.4,0.8,0.5,8.3
391,Norman Powell,TOR,1.9,4.9,.389,3.3,5.7,.582,2.1,.826,3.9,1.7,1.1,0.4,14.4
392,Julius Randle,NYK,1.0,3.8,.269,5.5,10.6,.514,3.9,.691,8.6,3.2,0.7,0.1,17.9
393,Cam Reddish,ATL,1.1,4.0,.268,1.8,4.9,.370,1.6,.763,3.8,1.5,1.0,0.4,8.5
394,J.J. Redick,NOP,3.2,7.1,.458,1.7,4.0,.430,2.7,.879,3.0,1.9,0.4,0.2,15.8
395,Naz Reid,MIN,0.5,1.0,.500,0.0,0.0,0,0.0,0,0.5,0.0,0.0,0.0,1.5
396,Josh Richardson,PHI,1.8,5.2,.349,3.7,7.7,.484,1.9,.774,3.5,3.2,1.0,0.6,14.8
397,Austin Rivers,HOU,1.2,4.0,.313,1.7,3.3,.526,0.9,.694,2.6,1.5,0.6,0.2,8.0
399,Duncan Robinson,MIA,3.2,7.1,.448,0.8,1.2,.649,0.6,.950,3.1,0.9,0.6,0.3,11.7
400,Glenn Robinson,GSW,1.3,3.3,.402,3.4,7.0,.481,1.1,.850,4.6,1.6,0.9,0.3,11.8
401,Jerome Robinson,LAC,0.5,1.8,.283,0.8,2.1,.396,0.2,.462,1.6,1.0,0.3,0.3,3.5
