,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,2K
246,Keldon Johnson,SAS,0,0,0,0,0,0,0,0,0,0,0,72
247,Stanley Johnson,TOR,0.2,0.25,0.4,0.4,0,0,1.4,0,0.2,0,1.4,73
248,Tyler Johnson,PHO,0.9,0.317,1.2,0.441,1,0.769,1.8,2,0.4,0.3,6.1,73
249,Nikola Jokić,DEN,1.2,0.303,5.7,0.565,2.3,0.819,10,6.9,1,0.6,17.4,89
250,Damian Jones,ATL,0.1,0.4,2.8,0.718,1.3,0.698,3.8,0.7,0.4,0.9,7.2,76
252,Derrick Jones,MIA,0.6,0.31,2.3,0.643,1.7,0.75,3.4,0.9,1.1,0.4,7.9,74
253,Tyus Jones,MEM,0.5,0.306,2,0.449,0.7,0.75,1.6,4.8,0.9,0.1,6.1,73
254,DeAndre Jordan,BRK,0,0,3.3,0.654,1.5,0.661,10,2.2,0.5,1,8.2,81
255,Cory Joseph,SAC,0.6,0.305,1.8,0.408,0.7,0.875,2.7,3.9,0.7,0.5,6,72
256,Mfiondu Kabengele,LAC,0.6,0.5,0.4,0.4,0.3,1,0.8,0.1,0.1,0.1,2.9,72
257,Frank Kaminsky,PHO,1.3,0.349,2.8,0.521,1.9,0.674,5.2,2.3,0.4,0.3,11.4,77
258,Enes Kanter,BOS,0,0,3.2,0.557,1.4,0.651,7.3,1,0.6,0.6,7.8,80
259,Luke Kennard,DET,2.6,0.399,2.8,0.491,2.4,0.893,3.5,4.1,0.4,0.2,15.8,80
260,Stanton Kidd,UTA,0,0,0,0,0,0,0.8,0.3,0,0,0,68
261,Michael Kidd-Gilchrist,CHO,0.5,0.294,1.1,0.344,0.7,0.778,3.1,0.9,0,0.3,4.4,
262,Maxi Kleber,DAL,1.4,0.382,1.5,0.553,1.1,0.889,5.2,1,0.3,0.7,8.3,
263,Brandon Knight,CLE,1.2,0.343,0.4,0.333,0.3,0.375,0.8,1.6,0.4,0.1,4.7,
264,Kevin Knox,NYK,1.3,0.345,1.5,0.436,1.2,0.667,2.9,1.2,0.6,0.5,8.1,
265,John Konchar,MEM,0,0,0,0,0,0,0,0,0,0,0,
266,Furkan Korkmaz,PHI,1.6,0.374,1.5,0.542,0.5,0.81,2.2,0.8,0.4,0.2,8.2,
267,Luke Kornet,CHI,0.3,0.185,0.7,0.476,0.3,1,1.5,0.4,0.1,0.7,2.7,
268,Kyle Korver,MIL,1.6,0.382,0.4,0.44,0.5,0.824,1.7,0.9,0.5,0.2,6.2,
269,Rodions Kurucs,BRK,0.3,0.4,0.6,0.409,0.2,0.375,2.4,0.3,0.4,0.1,2.4,
270,Kyle Kuzma,LAL,1.6,0.355,2.6,0.505,1.3,0.683,3.4,0.8,0.3,0.5,11.3,
271,Skal Labissière,POR,0.1,0.25,2.4,0.578,0.7,0.767,5.2,1.3,0.2,1,5.8,
273,Jeremy Lamb,IND,1.2,0.307,4.2,0.529,2.2,0.827,4.7,2.5,1.3,0.6,13.9,
274,Romeo Langford,BOS,0.5,0.5,1,0.571,0,0,1,0.3,0.5,0.3,3.5,
275,Zach LaVine,CHI,3.1,0.395,4.9,0.456,4.7,0.829,4.6,3.8,1.3,0.4,23.6,
276,Jake Layman,MIN,1.4,0.352,3,0.538,0.4,0.6,2.9,0.8,0.9,0.7,10.5,
277,T.J. Leaf,IND,0.3,0.385,1.1,0.438,0.3,0.6,3.1,0.3,0.4,0.2,3.3,
278,Courtney Lee,DAL,0.9,0.583,0.8,0.6,0,0,0.4,0.4,0,0.3,4.1,
279,Damion Lee,GSW,1.2,0.339,2.4,0.441,2.5,0.86,4.2,2.1,0.6,0,11.1,
280,Alex Len,ATL,0.4,0.3,3,0.618,1.2,0.686,5.2,1.1,0.5,0.8,8.3,
281,Kawhi Leonard,LAC,1.7,0.361,7.3,0.493,5.9,0.872,7.8,5.1,1.8,0.6,25.5,
282,Meyers Leonard,MIA,0.9,0.483,1.4,0.652,0.3,0.615,4.6,1,0.2,0.4,5.9,
283,Caris LeVert,BRK,1.4,0.361,5.1,0.442,2.2,0.645,5,4,0.7,0.1,16.8,
284,Damian Lillard,POR,3.2,0.349,5.1,0.53,6.6,0.897,4.2,7.5,1,0.4,26.6,
285,Nassir Little,POR,0.3,0.167,1.4,0.563,0.8,0.667,3.4,0.6,0.4,0.4,4.3,
286,Kevon Looney,GSW,0.1,0.5,1,0.333,0.3,0.6,2.9,0.4,0.3,0.2,2.6,
287,Brook Lopez,MIL,1.5,0.305,1.9,0.505,1.8,0.912,5.1,1.5,0.7,2.4,10,
288,Robin Lopez,MIL,0.5,0.306,1.6,0.602,0.5,0.625,2.7,0.7,0.2,0.6,5.2,
289,Kevin Love,CLE,2.3,0.373,3,0.513,3.5,0.85,10.7,2.9,0.6,0.4,16.2,
290,Kyle Lowry,TOR,3.1,0.363,3.1,0.5,5.3,0.863,5.2,7.6,1.2,0.3,20.7,
291,Timothé Luwawu-Cabarrot,BRK,0.1,0.111,1,0.438,0.7,0.833,1.3,0.3,0.1,0,3.1,
292,Trey Lyles,SAS,0.8,0.354,1,0.569,0.3,0.615,5.8,1.3,0.2,0.3,4.7,
294,Daryl Macon,MIA,0.3,0.5,0,0,0,0,0,0.3,0,0,0.8,
295,Josh Magette,ORL,0,0,0.7,0.333,0.3,0.5,1,0.7,0.7,0,1.7,
296,Ian Mahinmi,WAS,0.1,0.167,2.6,0.548,2.2,0.645,6,1.1,0.6,1.3,7.7,
297,Thon Maker,DET,0.3,0.421,0.9,0.556,1.1,0.633,2,0.4,0.3,0.6,3.6,
298,Terance Mann,LAC,0.1,0.222,0.9,0.576,0.4,0.8,1.1,1.3,0.3,0.1,2.4,
299,Boban Marjanović,DAL,0,0,2.4,0.564,1.1,0.7,4.5,0.5,0.2,0.2,5.8,
300,Lauri Markkanen,CHI,2,0.332,2.9,0.492,2.9,0.823,6.8,1.7,0.9,0.6,14.7,
301,Caleb Martin,CHO,0,0,0.6,0.429,0.6,0.6,1,0.6,0.2,0.4,1.8,
302,Cody Martin,CHO,0.3,0.233,1,0.532,1,0.686,2.6,1.3,0.8,0.2,4,
303,Kelan Martin,MIN,0.7,0.25,1.1,0.5,0,0,2.6,0.3,0.2,0.1,4.3,
304,Frank Mason,MIL,0.3,0.25,0,0,0.5,0.5,0.5,1.3,0.3,0,1.3,
305,Garrison Mathews,WAS,0.8,0.375,0.1,1,0.8,0.857,1.4,0.6,0.1,0.1,3.3,
306,Wesley Matthews,MIL,1.7,0.391,1,0.534,1,0.833,2.4,1.3,0.8,0.1,8.3,
307,Patrick McCaw,TOR,0.8,0.318,1,0.563,0.3,0.75,1.9,1.3,1.2,0,4.7,
308,CJ McCollum,POR,2.7,0.38,6.1,0.497,2,0.813,4.5,3.7,0.8,0.8,22.4,
309,T.J. McConnell,IND,0.1,0.3,3.2,0.529,0.5,0.933,2.6,5,0.6,0.2,7.1,
310,Jalen McDaniels,CHO,0,0,1,0.5,0,0,0.5,0,0,0,2,
311,Doug McDermott,IND,1.9,0.46,1.7,0.486,0.6,0.792,2.9,1.2,0.1,0.1,9.6,
312,JaVale McGee,LAL,0,1,3.2,0.629,0.7,0.618,6.1,0.6,0.5,1.4,7.1,
313,Rodney McGruder,LAC,0.7,0.306,0.8,0.485,0.3,0.5,2.8,0.7,0.5,0.2,4,
315,Alfonzo McKinnie,CLE,0.4,0.32,0.5,0.357,0.4,0.636,1.9,0.2,0.3,0.2,2.7,
316,Jordan McLaughlin,MIN,0.8,0.286,1.4,0.5,0.8,1,1.8,2.4,0.8,0,6,
317,Ben McLemore,HOU,2.5,0.364,0.9,0.711,1.1,0.78,2.3,1,0.7,0.2,10.4,
318,Jordan McRae,WAS,1,0.394,2.3,0.517,1.3,0.895,2.4,2.8,0.6,0.3,8.9,
319,Nicolò Melli,NOP,0.9,0.306,0.8,0.606,0.8,0.75,2.4,1,0.6,0.2,5.1,
320,De'Anthony Melton,MEM,0.6,0.355,1.8,0.443,1.5,0.833,3.6,3.2,1.3,0.2,6.7,
321,Chimezie Metu,SAS,0,0,1.2,0.55,0.2,0.5,1.8,0.2,0.1,0.3,2.7,
322,Khris Middleton,MIL,2,0.402,4.6,0.536,2.6,0.886,5.4,3.5,1,0.2,18,
323,C.J. Miles,WAS,1.1,0.314,0.8,0.333,1.5,0.75,1.2,1.2,1,0.4,6.4,
324,Malcolm Miller,TOR,0.3,0.357,0.1,0.25,0.1,0.167,0.9,0.4,0.3,0.1,1.1,
325,Patty Mills,SAS,2.3,0.429,1.8,0.5,1.3,0.76,1.5,2.1,0.9,0.2,11.7,
326,Paul Millsap,DEN,1.1,0.469,3.4,0.495,2.8,0.882,5.9,1.3,0.8,0.7,12.9,
327,Shake Milton,PHI,0.4,0.211,0.9,0.529,0.7,0.778,0.8,0.7,0.1,0,3.7,
328,Donovan Mitchell,UTA,2.1,0.346,7.1,0.493,4.2,0.839,4.6,4,1.2,0.3,24.8,
